trajectory_id,time,x,y,vx,vy,speed
1,0.0,0.6378114251086594,-0.23995212824856485,-0.4847976777612761,-0.45626494519043725,0.665737552322504
1,0.02,0.6277522088422004,-0.24969815253649455,-0.4363297539590486,-0.5141060946356268,0.6743061105547391
1,0.04,0.6188840638184042,-0.25961003526221527,-0.5077848930626907,-0.40728214551438585,0.6509410447018145
1,0.06,0.6097984092249651,-0.2670875297325537,-0.43351618263044045,-0.3121714297410509,0.5342165124264143
1,0.08,0.6026046128214508,-0.2737208388012851,-0.42412209805112566,-0.3017953600249251,0.5205381766862665
1,0.1,0.5927909588617837,-0.27896039718778004,-0.5586369106570449,-0.1803827572971502,0.5870375942634081
1,0.12,0.581385292164384,-0.2828377242830431,-0.5457715106946207,-0.2321013979963564,0.5930747008916765
1,0.14,0.5708721408133574,-0.28799248531987215,-0.49020705567579187,-0.22792745786601212,0.5406051086362315
1,0.16,0.5600250883571579,-0.291958736303397,-0.5325866212801906,-0.10471562590276098,0.5427834480479818
1,0.18,0.5497291694811933,-0.2933762717556235,-0.4978835299059331,-0.05021345072331677,0.5004092325138847
1,0.2,0.5388623081731381,-0.29462408174358956,-0.5663106447406012,0.03515000070621476,0.5674004484455069
1,0.22,0.5271313430057825,-0.2933367619111472,-0.653992119025321,0.09093333360656139,0.6602836988053179
1,0.24,0.5154789922373662,-0.2910919876458322,-0.5853188671956552,0.10422539070733013,0.5945259526406738
1,0.26,0.5029358746284224,-0.28995068932774465,-0.6131128200314107,0.03326632877177949,0.6140146404743303
1,0.28,0.4886462200887626,-0.28967193288975834,-0.7245571820187187,0.0035269449745472634,0.724565766066656
1,0.3,0.4743408405707233,-0.28990101907773547,-0.6451965480071877,-0.004193055948176311,0.6452101729503154
1,0.32,0.4612840358762846,-0.28998969464765495,-0.6713562757115011,0.019627496805679396,0.6716431251550737
1,0.34,0.4477067793233081,-0.2874984457837517,-0.6646684167356794,0.17104755239230973,0.6863245364878884
1,0.36,0.4355670162700742,-0.28448056288031576,-0.5430568932272571,0.14273978959631617,0.5615028377627678
1,0.38,0.4257363739638648,-0.27983103388188696,-0.40097588024362085,0.2675250720966864,0.4820283401808278
1,0.4,0.41825621143532843,-0.2758083755529988,-0.3528672222900515,0.10578704867605972,0.36838319211696896
1,0.42,0.4096356394536437,-0.2744995922324329,-0.5067364982602393,0.06567571754080884,0.5109747337623941
1,0.44,0.3989533232531931,-0.27108034793389124,-0.5011340749882789,0.21114194753800747,0.5437980168449501
1,0.46,0.38834588028001094,-0.2673882614368159,-0.5292084040753512,0.19260102272997062,0.563166661744648
1,0.48,0.3775774814993754,-0.263409523275845,-0.606653212016164,0.15559087315188852,0.6262879844430163
1,0.5,0.36645813610585676,-0.26101396748579714,-0.5156490896046149,0.16564875021075462,0.5416027068400352
1,0.52,0.3560368701455064,-0.2569963215906154,-0.5726738316287094,0.20339787575569251,0.6077219868445074
1,0.54,0.3445659643912202,-0.25337883170324754,-0.5235528468677331,0.1796266513136373,0.5535099974936848
1,0.56,0.33354972416462353,-0.2481726277746666,-0.5834690454491183,0.2154364244762609,0.6219718482282144
1,0.58,0.3222791505121643,-0.24303649676332273,-0.5592289434586556,0.2817734603951042,0.626205472816164
1,0.6,0.31066734770689647,-0.2372350266610259,-0.626262936156547,0.28315909103042325,0.6873022159404076
1,0.62,0.29811183219971255,-0.2319941486143636,-0.5909833043524955,0.3015013665759851,0.6634488224954362
1,0.64,0.2851014952753924,-0.22585976465881258,-0.6301176725738828,0.3601805666262813,0.7257949585558968
1,0.66,0.27339567469941245,-0.2211678358808979,-0.561725143122446,0.16957251291148911,0.5867622802728969
1,0.68,0.26245316755581743,-0.21599762137797907,-0.566576154371174,0.33820671823839354,0.6598426501550294
1,0.7,0.2504962688561351,-0.20843919970689034,-0.6819184546212184,0.406407014261003,0.7938384218425899
1,0.72,0.2373784180441157,-0.20083629454384141,-0.6305488698434921,0.40331681598640634,0.7485027263265766
1,0.74,0.22490250559113245,-0.19314710401060814,-0.6414675129806061,0.404285680031932,0.7582397254750016
1,0.76,0.21136550084695785,-0.18518791131186557,-0.6746095417422645,0.4053893760725579,0.7870442046303409
1,0.78,0.19885974908299195,-0.17582902283564358,-0.6623623966930188,0.5329949109522485,0.85018087466957
1,0.8,0.18666539916325203,-0.1659176158525298,-0.608725781947977,0.4407060040661431,0.7515110509021962
1,0.82,0.1734635291603647,-0.15702430789486918,-0.5859318210447719,0.42649783810022956,0.7247182244272682
1,0.84,0.1604820926713657,-0.14689005469491437,-0.670144654442098,0.5357903556349604,0.8580006777787278
1,0.86,0.1483488065236753,-0.13549667858046155,-0.5476058106940302,0.6050269265001539,0.8160451615542419
1,0.88,0.13826620809432016,-0.1237071548475643,-0.530156986062978,0.5292937285131076,0.7491450332977506
1,0.9,0.12833646301553422,-0.11332629450822744,-0.440086141906206,0.4939213560399029,0.661539203864885
1,0.92,0.12083219528680747,-0.10496929053807762,-0.30719996068392236,0.3954691537531968,0.5007670790042742
1,0.94,0.11385446778936673,-0.09676675791321192,-0.33132928758178276,0.3878523962881171,0.5101064380263067
1,0.96,0.1070053917120119,-0.08909386158788986,-0.40596358541663646,0.3080752967444184,0.5096241959998487
1,0.98,0.09837377420611497,-0.08380739250975484,-0.4649551732054966,0.16683950403622363,0.49398252317020935
1,1.0,0.08823542529314052,-0.07973326594387782,-0.5262675939079976,0.2691867162579926,0.591116797771366
1,1.02,0.07718315082141913,-0.07498986606547052,-0.5105167529574809,0.21152965494690681,0.5526048768986817
